url,title,corpname,location,content
https://kr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DQo_FcFImbqTEPchmNt_MdR67dKQuDcK6BUyj8wMx_OEhTF0GS5aAO-1cULnqA2IwzGbmmopyXETpdSmPRieFGR-pBPKrou6hNEGkPK47U6wmQu6jM1UEuMGUAlwMhg3kuET_M1HO_xFGWnuIWvIsIYzRpHHZ1gvCFC4AYRcas4qw2qrPur7e3bzasJZXZdiqwIwGnZdCKTUIPv5v4VaZgG8w_0Ibggshtb2Yx2382pQgZhffRm_IVK5GhIBD483rIwcSrjawXVfqgS7fSG7arctRZjmX-cUYYaBTYiOFjYo_Sn6KDUgk3tecfvxh3Ne_jsSbGTWqGTAIJp4I9kyH5Oga-NcEgXnw0DMoZM3cSHBltC8i1-Sz6QavPjFeuAukmQgCcNZE_qaxExHsIckIPz8d_Amvp5gdxXBOexlBczc4QhH0lhSxe&p=0&fvj=1&vjs=3,Android Developer,Bepro Company,,참고 - React JS (Web) / Kotlin (Android) / Swift (iOS) - Python + Django - AWS lambda + API gateway - MySQL - Google Cloud...
https://kr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DQo_FcFImbqTEPchmNt_MdR67dKQuDcK6BUyj8wMx_OEhTF0GS5aAOGdYAc3vtZXxmr-Z4dMeZfcaPbFT8a-NcjtbFWTG_YxwCtNmia2BHGafPU36VnsXBScJK0ksTf7QZAcGcFQIisiq18ApU4Ok3GkdSwr9K0s6UY1x6a7SESARI0ODnminEpPp1vUpu65QX1EWhGuHrVfzt8fyALPKlVXYN5h9zmYNJEC_3ylkQhXp2HvVeFnx3x6HmW5vxC2iXqGfgSU5xggYVfXzv6BQDEgtHB_GSQtCg4MQYVjbU94eXtW6YgED9x_Z031pBiUrHXGO0LBtcfDNok0sm54-5v2B_BrgCSQq7rpFQhY_tPtfl3qndwOMi3_Ql7ExJnPPZt4fSjI0S2ifBTxMEW5pCNpDQRKKOENI7MQqju_OstEGRimLtpxn8&p=1&fvj=1&vjs=3,iOS Developer,Bepro Company,,참고 - React JS (Web) / Kotlin (Android) / Swift (iOS) - Python + Django - AWS lambda + API gateway - MySQL - Google Cloud...
https://kr.indeed.com/rc/clk?jk=806b07d4b07e4c47&fccid=d29ddc820620b02e&vjs=3,SW Architect,Success Korea,서울 신논현역,"자격요건] - C#, JAVA, Python 등 OOP(Object... 임원면접 [제출서류] 국문이력서 자격요건 - C#, JAVA, Python 등 OOP(Object Oriented Programming) 언어..."
https://kr.indeed.com/rc/clk?jk=493a39e613f9971a&fccid=d29ddc820620b02e&vjs=3,영상보안 Application 개발 및 수행,Success Korea,서울 중구,"험자 - 영상 플레이어 개발경험 - CUDA(GPGPU) 개발 경험자 - Python 개발 경험자 - 인공지능 딥러닝, 빅데이터 관심있는 자 - 공공... GPGPU) 개발 경험자 - Python 개발 경험자 - 인공지능 딥러닝..."
https://kr.indeed.com/rc/clk?jk=a2089ff8a19a429f&fccid=95a0137a87259a6a&vjs=3,Fullstack SW개발자,신재생에너지 분야 솔루션기업,성남 판교역,"자격요건] -유관업무 경력 5년 이상 -Programmming Language : C/C++, Java, Python -데이터베이스 기초설계 및 연동 -웹기반 UI 개발 경험 [우대요건] -분산형 시스템 개발 경험 -AI..."
https://kr.indeed.com/rc/clk?jk=d9f1c1b5579f37c4&fccid=d29ddc820620b02e&vjs=3,빌링서버 개발자,Success Korea,서울,커뮤니케이션이 가능하신 분 [우대사항] - Linux 기반에서 Python(Django)또는 PHP로 백엔드 시스템 개발 경험 - AWS/GCP... 사항] - Linux 기반에서 Python(Django)또는 PHP로 백엔...
https://kr.indeed.com/rc/clk?jk=c8869aca354714a1&fccid=d29ddc820620b02e&vjs=3,Server Developer(PHP),Success Korea,서울,"구축 및 스토리지 사용 경험 - APM 환경 서버 구축 경험자 - python, django,flask 관련 경험 우대 [전형절차] 서류전형- 1... APM 환경 서버 구축 경험자 - python, django,flask..."
https://kr.indeed.com/rc/clk?jk=6373005ce9ee17b0&fccid=d29ddc820620b02e&vjs=3,cloud/saas개발,Success Korea,서울,"발업무 경력 3년이상 -Node.js(java-script), SpringBoot(Java), Django( Python) 실무 경험 1년 이상 (최소 1개 이상) -RDB(Oracle, MySQL, Postgres 1개 이상..."
https://kr.indeed.com/rc/clk?jk=3d594f8990d3a797&fccid=d29ddc820620b02e&vjs=3,Cloud System Engineer,Success Korea,서울,"보유자 - CI/CD 구축 및 운영 경험자 우대사항 : - e커머스 서비스 운영 경험자 - 스크립팅 가능자 ( Python, Go, Shellscript) - Cloudformation, Ansible, Terraform 등..."
https://kr.indeed.com/rc/clk?jk=3da2537c07ea7706&fccid=d29ddc820620b02e&vjs=3,Platform server 개발자,Success Korea,성남 분당구,"scala (이외 C++, Go, Python 등)를 이용한 서버 개발... 사용) 자격요건 -Java / scala (이외 C++, Go, Python 등)를 이용한 서버 개발 경력 3년 이상이신 분 -오픈소스 기술을..."
